Driven_four_above,Worried_rising_covid,Vulnerable,@3.Pleaseexplainthemainreasonsforyouranswer,@4.KindlyanswerthefollowingcommonstatementsaboutCovid19,Origination_virus,Spread_human_human,Symptoms,Virus_airborn,Develop_severe_cases,No_vaccine,Wash_hands,Cover_nose_mouth,Eating_bushmeat,Isolation,Contact_infected_person,Avoid_crowd,Lock_down,Social_distancing,Nose_mask,No_mask_no_entry,Proper_handwashing,Passenger_details,TOTALSCORE,Knowledge_group,Ghana_fight_covid,Confidence,@4c.KindlyanswerthefollowingcommonstatementsaboutCovid19,Crowded_place,Travelled_public,Recently_wash_sanitized,Wear_mask,Location,Gender,Age,30-39,Prmiary,8,Marrried,Islam,6,Bolt
Yes,No,No, , ,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,1,Low,No,No, ,Yes,Yes,No,No,Kumasi,Male,36,30-39,SSS/SHS,14,Co-habiting (living with a partner but not married),Christian,4,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,No,No,Yes,Yes,Kumasi,Male,31,30-39,JSS/JHS/Mid. School,11,Co-habiting (living with a partner but not married),Christian,3,Bolt
Yes,"Yes, absolutely",Yes,I take money from people, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,17,High,Yes,Yes, ,No,No,Yes,Yes,Accra,Male,38,30-39,Tertiary,16,Marrried,Christian,3,Uber
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,16,High,Yes,Yes, ,No,No,Yes,Yes,Kumasi,Male,32,30-39,SSS/SHS,14,Marrried,Christian,5,Bolt
Yes,"Yes, absolutely",Yes,I come into contact with different people, ,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,5,Low,Yes,Yes, ,Yes,No,Yes,Yes,Accra,Male,35,18-29,Tertiary,18,Co-habiting (living with a partner but not married),Christian,2,Bolt
Yes,"Yes, absolutely",No, , ,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,14,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,28,30-39,SSS/SHS,14,Co-habiting (living with a partner but not married),Christian,3,Bolt
Yes,"Yes, absolutely",Yes,Not observing the safety protocols been put in place, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,16,High,Yes,Yes, ,No,Yes,Yes,Yes,Kumasi,Male,30,30-39,Voc./Tech./Commercial,17,Co-habiting (living with a partner but not married),Christian,4,Bolt
Yes,"Yes, but not as it was in March 2020",No, , ,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,14,High,Yes,Yes, ,No,Yes,Yes,Yes,Kumasi,Male,31,30-39,SSS/SHS,14,Co-habiting (living with a partner but not married),Christian,2,Bolt
Yes,"Yes, absolutely",No, , ,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,5,Low,Yes,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,32,30-39,SSS/SHS,14,Marrried,Christian,6,Bolt
Yes,"Yes, but not as it was in March 2020",Yes,We come in contact with different people, ,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,15,High,Yes,Yes, ,Yes,Yes,Yes,Yes,Kumasi,Male,35,30-39,SSS/SHS,14,Marrried,Christian,3,Uber
